Country,Threads,Run,Setup,Execution,Actual
Guam,1,0,1.852647,5.11839,5.21979022026062
Guam,1,1,1.738867,4.986043,5.087662220001221
Guam,1,2,1.758343,5.087896,5.193021774291992
Guam,2,0,1.460638,3.973483,4.075682163238525
Guam,2,1,1.472558,3.993438,4.09632134437561
Guam,2,2,1.460719,3.987853,4.0899012088775635
Guam,3,0,1.341046,4.113891,4.2163426876068115
Guam,3,1,1.355103,4.156765,4.259552717208862
Guam,3,2,1.3888,4.209574,4.319320201873779
Guam,4,0,1.307023,3.622199,3.7268283367156982
Guam,4,1,1.326054,3.632088,3.735996723175049
Guam,4,2,1.299279,3.608783,3.7113771438598633
Guam,5,0,1.26563,3.480903,3.5847721099853516
Guam,5,1,1.270428,3.455659,3.5576608180999756
Guam,5,2,1.259305,3.434101,3.538748025894165
Guam,6,0,1.241176,3.446998,3.55088472366333
Guam,6,1,1.279502,3.584974,3.6888062953948975
Guam,6,2,1.25317,3.565632,3.6692802906036377
Guam,7,0,1.214235,3.419987,3.524958848953247
Guam,7,1,1.219657,3.436621,3.540886640548706
Guam,7,2,1.224987,3.684087,3.809950113296509
Guam,8,0,1.217632,3.528423,3.6323721408843994
Guam,8,1,1.222562,3.51244,3.616476058959961
Guam,8,2,1.207613,3.500775,3.6050221920013428
Guam,9,0,1.201115,3.751934,3.8793370723724365
Guam,9,1,1.202177,3.496833,3.600522518157959
Guam,9,2,1.202831,3.527741,3.6300172805786133
Guam,10,0,1.198106,3.388752,3.4964773654937744
Guam,10,1,1.182111,3.364927,3.469472646713257
Guam,10,2,1.194056,3.396015,3.500922441482544
Guam,11,0,1.185002,3.744322,3.870604991912842
Guam,11,1,1.192073,3.484276,3.588230609893799
Guam,11,2,1.17369,3.430158,3.534687042236328
Guam,12,0,1.172497,3.349786,3.4539589881896973
Guam,12,1,1.167876,3.341877,3.4456307888031006
Guam,12,2,1.170188,3.334875,3.438652753829956
Guam,13,0,1.195572,3.703272,3.8318400382995605
Guam,13,1,1.195156,3.421216,3.5256476402282715
Guam,13,2,1.184508,3.396947,3.500870704650879
Guam,14,0,1.182546,3.410746,3.5144143104553223
Guam,14,1,1.181195,3.402135,3.50590443611145
Guam,14,2,1.178539,3.398031,3.501537561416626
Guam,15,0,1.168861,3.394854,3.4981017112731934
Guam,15,1,1.177897,3.424829,3.529357433319092
Guam,15,2,1.183839,3.711819,3.8391711711883545
Guam,16,0,1.177386,3.699042,3.8247456550598145
Guam,16,1,1.182208,3.439603,3.5433177947998047
Guam,16,2,1.167043,3.395298,3.4989895820617676
