Country,Threads,Run,Setup,Execution,Actual
Malta,1,0,12.986876,307.791611,307.9267601966858
Malta,1,1,13.032304,311.519076,311.62508821487427
Malta,1,2,13.028112,305.922531,306.0581991672516
Malta,2,0,13.02895,166.763194,166.89529538154602
Malta,2,1,12.928402,172.971553,173.08485531806946
Malta,2,2,12.97938,166.583536,166.69143342971802
Malta,3,0,12.764554,226.503871,226.61157941818237
Malta,3,1,12.763877,226.69729,226.8039891719818
Malta,3,2,12.839698,226.599878,226.7084813117981
Malta,4,0,12.747496,131.511481,131.6449372768402
Malta,4,1,12.719504,130.974202,131.08271741867065
Malta,4,2,12.704593,130.187966,130.3234806060791
Malta,5,0,12.767418,133.838352,133.94773364067078
Malta,5,1,13.084054,133.788484,133.89662408828735
Malta,5,2,12.700874,129.965194,130.09580945968628
Malta,6,0,12.691368,135.037926,135.14436507225037
Malta,6,1,12.702965,134.501892,134.60972571372986
Malta,6,2,12.699207,135.407276,135.51362776756287
Malta,7,0,12.626654,135.89904,136.00582599639893
Malta,7,1,12.657478,135.010886,135.1187174320221
Malta,7,2,12.594621,135.949294,136.05616879463196
Malta,8,0,12.582522,129.118876,129.22548723220825
Malta,8,1,12.676242,129.283492,129.41540813446045
Malta,8,2,12.589661,124.663036,124.76913857460022
Malta,9,0,12.676102,121.8802,121.98858499526978
Malta,9,1,12.66229,125.446776,125.55374670028687
Malta,9,2,12.610938,126.37069,126.47653889656067
Malta,10,0,12.690831,139.07453,139.18111181259155
Malta,10,1,12.90432,139.588646,139.69815969467163
Malta,10,2,12.649224,136.422988,136.53144431114197
Malta,11,0,12.585703,125.110548,125.21815872192383
Malta,11,1,12.559758,125.107918,125.21344923973083
Malta,11,2,12.605938,128.017596,128.12452912330627
Malta,12,0,12.596842,125.255555,125.36291241645813
Malta,12,1,12.612454,127.619561,127.72648596763611
Malta,12,2,12.614458,125.804005,125.91058325767517
Malta,13,0,12.627601,132.619489,132.7281403541565
Malta,13,1,12.627906,132.183191,132.2906494140625
Malta,13,2,12.576045,130.937787,131.04585528373718
Malta,14,0,12.548235,123.259102,123.39465355873108
Malta,14,1,12.556331,127.659181,127.79578113555908
Malta,14,2,12.635478,122.412582,122.52083444595337
Malta,15,0,12.597418,126.202496,126.30995607376099
Malta,15,1,12.615087,125.327145,125.44417762756348
Malta,15,2,12.605059,123.880689,123.98859119415283
Malta,16,0,12.601468,129.096081,129.20225381851196
Malta,16,1,12.676938,125.056666,125.19150829315186
Malta,16,2,12.638817,126.797058,126.90396761894226
Malta,17,0,12.601862,126.865373,126.99990797042847
Malta,17,1,12.556917,131.193884,131.30049777030945
Malta,17,2,12.578187,125.904101,126.01139068603516
Malta,18,0,12.604346,124.855032,124.98968315124512
Malta,18,1,12.566743,123.389959,123.5080041885376
Malta,18,2,12.546622,127.849349,127.98268413543701
Malta,19,0,12.651003,123.07491,123.1818208694458
Malta,19,1,12.61873,126.305742,126.43781232833862
Malta,19,2,12.573382,131.318898,131.4333634376526
Malta,20,0,12.668832,135.436458,135.57208776474
Malta,20,1,12.605181,131.530568,131.64182305335999
Malta,20,2,12.555507,133.494338,133.6307249069214
