Country,Threads,Run,Setup,Execution,Total,Actual
Guam,1,0,3.782,7.036,10.818,7.173311471939087
Guam,2,0,3.704,8.328,12.032,8.530272245407104
Guam,3,0,3.319,8.288,11.607,8.472189664840698
Guam,4,0,3.333,7.682,11.015,7.882385969161987
Guam,5,0,3.209,7.406,10.615,7.643249273300171
Guam,6,0,3.27,7.703,10.973,8.036045551300049
Guam,7,0,3.239,9.078,12.317,9.384397506713867
Guam,8,0,3.281,9.612,12.893,9.969060897827148
Guam,9,0,3.174,10.211,13.385,10.586506605148315
Guam,10,0,3.253,10.117,13.370000000000001,10.507899045944214
Guam,11,0,3.222,11.034,14.256,11.46855878829956
Guam,12,0,3.159,11.017,14.175999999999998,11.47353982925415
Guam,13,0,3.141,11.139,14.28,11.588447570800781
Guam,14,0,3.231,11.58,14.811,12.097603559494019
Guam,15,0,3.143,12.217,15.36,12.790138244628906
Guam,16,0,3.198,12.007,15.205,12.60911512374878
Guam,17,0,3.431,11.952,15.383,12.502624034881592
