Country,Threads,Run,Setup,Execution,Actual
Malta,1,0,18.287,371.387,373.3787112236023
Malta,1,1,18.081,368.838,369.35212993621826
Malta,1,2,18.193,371.946,373.2587411403656
Malta,2,0,17.59,209.708,210.77127408981323
Malta,2,1,17.7,204.722,206.88023924827576
Malta,2,2,17.698,203.729,204.73524808883667
Malta,3,2,17.497,283.254,285.05224084854126
Malta,4,0,17.301,162.3,162.58892941474915
Malta,4,1,17.31,160.864,162.59069085121155
Malta,4,2,17.339,163.577,164.58709740638733
Malta,5,0,17.42,172.036,172.62426114082336
Malta,5,1,17.35,173.272,174.6339955329895
Malta,6,0,17.465,188.903,190.6703233718872
Malta,6,1,17.358,189.731,190.69775462150574
Malta,6,2,17.447,186.791,188.69328784942627
Malta,7,0,17.504,197.722,198.7211446762085
Malta,7,1,17.194,195.714,196.70748925209045
Malta,8,0,17.208,185.349,186.6560320854187
Malta,8,1,17.622,182.559,184.71834778785706
Malta,8,2,17.426,181.767,182.66049337387085
Malta,9,1,17.306,181.087,182.65298008918762
Malta,10,0,17.391,189.014,190.6775200366974
Malta,10,1,17.409,186.073,186.65657210350037
Malta,10,2,17.748,190.186,190.69168305397034
